"long","lat","species"
-0.296113518983873,0.00085160773265534,"species1"
0.315433894311726,-0.254811910170716,"species1"
-0.191348895816854,-0.0404220676649274,"species1"
-0.184001049511728,0.232893175948232,"species1"
-0.399528419386269,-0.00467588170477417,"species1"
-0.054459208849846,0.179431349980158,"species1"
-0.0630697422935568,-0.035344890986318,"species1"
-0.125651047303508,0.222741815511655,"species1"
-0.0212927769744189,-0.108377771929991,"species1"
0.0856029604404709,-0.192679666376253,"species1"
-0.155543916429489,0.075289679916393,"species1"
-0.258776459522723,-0.196934759342696,"species1"
-0.155913301611886,0.179511880454701,"species1"
0.00239035171305968,0.0258525066970736,"species1"
-0.0304832475644335,0.20674059611282,"species1"
-0.140692850895728,-0.0684578547255381,"species1"
0.237775831255134,0.0904562513071361,"species1"
0.0681024541698375,-0.138947588405393,"species1"
0.101393634451833,-0.0478027182105762,"species1"
-0.0586610298162822,-0.201459791918052,"species1"
0.0447282830752547,0.385343766586037,"species1"
0.401440291389087,0.0102860728965295,"species1"
0.202395823613429,0.360104752314055,"species1"
-0.0604918490336531,-0.1102915522804,"species1"
-0.205048967802732,0.0214117789009305,"species1"
-0.0534769659988564,0.157824808848766,"species1"
-0.0398211322229525,-0.0488510635031089,"species1"
0.026224519084875,0.076835992838681,"species1"
0.0291599791087402,-0.233847102803144,"species1"
0.0724129442234459,0.303654485258034,"species1"
0.134796232760095,0.0145962354295605,"species1"
0.414407153630114,-0.105535005739233,"species1"
-0.108205729812295,-0.10490511588811,"species1"
-0.214098431662421,0.149380149638612,"species1"
-0.0744913464556546,-0.236482794313771,"species1"
-0.0970282709576551,-0.27094169675707,"species1"
0.0549568356951418,-0.0424571018074935,"species1"
-0.0959025123164601,-0.0178962989355924,"species1"
0.159621065225075,0.0514065025864719,"species1"
-0.200890240477743,0.240857367335339,"species1"
0.0209968466139676,-0.0348062153638801,"species1"
-0.231198578038421,0.138043358210659,"species1"
0.115626925391571,0.0826769163531954,"species1"
-0.319125131238705,-0.286095809467745,"species1"
-0.061700731241183,-0.259933820379587,"species1"
0.0898931844245197,0.280669973544446,"species1"
-0.195410656525874,-0.0438700437508749,"species1"
0.037999571873449,0.42649821836409,"species1"
0.146290671460035,-0.36669398193215,"species1"
-0.0985198221508588,-0.0221019361295739,"species1"
-0.00853698243479901,0.153142070553661,"species1"
-0.0225341152867789,0.0647009208854008,"species1"
0.0913654495452863,-0.147075782370495,"species1"
0.404066968353354,0.229143428734408,"species1"
-0.210178012490612,-0.05564748766144,"species1"
0.146930421179038,0.211368264704323,"species1"
0.107849948790309,0.0735028874407513,"species1"
-0.262854559390073,0.16950292295088,"species1"
-0.0500077444115748,-0.252564093197228,"species1"
0.0628409192873656,0.105647333559329,"species1"
0.0813093387356544,0.217881364450705,"species1"
0.198884119958105,-0.13989567279215,"species1"
0.171153686351553,0.284205233679716,"species1"
0.039425783370504,0.287804335699647,"species1"
0.166865007509003,-0.259062256982571,"species1"
0.169358030481548,-0.179411973358473,"species1"
0.390821050921542,-0.376955223271207,"species1"
-0.429852000313408,0.00549958098416667,"species1"
0.194224053942004,-0.181483330525195,"species1"
0.229012314658507,-0.329512340567164,"species1"
-0.105080125219746,0.0504680078190215,"species1"
0.0500640205548342,0.128462853030051,"species1"
-0.0858813222739409,-0.0693872215414903,"species1"
-0.036503924429393,-0.103052646309708,"species1"
-0.0206620932769362,0.0796337846660225,"species1"
-0.126767640642368,0.190711442730424,"species1"
-0.254210757440655,0.0520357848768198,"species1"
-0.0767900787806484,-0.410026875366321,"species1"
0.103351160472637,0.057594143515145,"species1"
-0.0355937087622414,0.072389083835616,"species1"
-0.337348204780077,0.199856300203565,"species2"
0.249433960451672,-0.218373572773761,"species2"
-0.354038576408775,0.170725690147996,"species2"
0.0445671730904017,-0.12541528340708,"species2"
-0.112104086616527,0.0841369559921049,"species2"
-0.101625912440773,-0.0791746592672281,"species2"
-0.187766617636799,-0.0779496241311328,"species2"
0.32712987684796,0.0767146767984499,"species2"
-0.130563377733384,0.33257405633216,"species2"
0.167842723895189,-0.225627851578896,"species2"
-0.122319058371852,-0.0262149748013287,"species2"
